title,price_gbp,price_inr,rating,in_stock,category_name
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.1,5,True,Nonfiction
Black Dust,34.53,3642.92,5,True,Romance
Chase Me (Paris Nights #2),25.27,2665.98,5,True,Romance
Join,35.67,3763.19,5,True,Science Fiction
Princess Between Worlds (Wide-Awake Princess #5),13.34,1407.37,5,True,Fantasy
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.86,5,True,Sequential Art
Private Paris (Private #10),47.61,5022.85,5,True,Fiction
Rip it Up and Start Again,35.02,3694.61,5,True,Music
Sapiens: A Brief History of Humankind,54.23,5721.26,5,True,History
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,True,Sequential Art
