title,price_gbp,rating
The Death of Humanity: and the Case for Life,58.11,4
Slow States of Collapse: Poems,57.31,3
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3
The Past Never Ends,56.5,4
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1
Masks and Shadows,56.4,2
The Secret of Dreadwillow Carse,56.13,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1
Birdsong: A Story in Pictures,54.64,3
Sapiens: A Brief History of Humankind,54.23,5
The Murder That Never Was (Forensic Instincts #5),54.11,3
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2
Tipping the Velvet,53.74,1
Aladdin and His Wonderful Lamp,53.13,3
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
Behind Closed Doors,52.22,4
The Black Maria,52.15,1
A Light in the Attic,51.77,3
Libertarianism for Beginners,51.33,2
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3
"We Love You, Charlie Freeman",50.27,5
Soumission,50.1,1
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1
Sharp Objects,47.82,4
Private Paris (Private #10),47.61,5
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3
The Natural History of Us (The Fine Art of Pretending #2),45.22,3
It's Only the Himalayas,45.17,2
Without Borders (Wanderlove #1),45.07,2
Wall and Piece,44.18,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4
The Art Forger,40.76,3
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1
Soul Reader,39.58,2
Security,39.25,2
The Nameless City (The Nameless City #1),38.16,4
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1
How Music Works,37.32,2
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1
The Bear and the Piano,36.89,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2
Join,35.67,5
Rip it Up and Start Again,35.02,5
Black Dust,34.53,5
You can't bury them all: Poems,33.63,2
My Paris Kitchen: Recipes and Stories,33.37,2
The Dirty Little Secrets of Getting Your Dream Job,33.34,4
Penny Maybe,33.29,3
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5
When We Collided,31.77,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3
Reasons to Stay Alive,26.41,2
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1
Chase Me (Paris Nights #2),25.27,5
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4
Olio,23.88,1
The Elephant Tree,23.82,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
The Requiem Red,22.65,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3
In the Country We Love: My Family Divided,22.0,4
Shakespeare's Sonnets,20.66,4
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1
"In a Dark, Dark Wood",19.63,1
This One Summer,19.49,4
The Torch Is Passed: A Harding Family Story,19.09,1
"Pop Gun War, Volume 1: Gift",18.97,1
Unicorn Tracks,18.78,3
Maude (1883-1993):She Grew Up with the country,18.02,2
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5
Set Me Free,17.46,5
Thirst,17.27,5
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3
